[Sat Aug 06 15:46:42.386943 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2700] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:43.096941 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2699] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:43.104946 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2700] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:43.113941 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2701] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:46:58.659942 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2712] Not Found: /media/wedding_couple.jpg\r
[Sat Aug 06 15:47:20.739466 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2721] Not Found: /media/wedding_couple.jpg\r
[Sat Aug 06 15:47:20.818469 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2721] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/media/wedding_couple.jpg
[Sat Aug 06 15:47:55.475468 2022] [authz_core:error] [pid 12412:tid 1484] [client 127.0.0.1:2728] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:55.479468 2022] [authz_core:error] [pid 12412:tid 1472] [client 127.0.0.1:2729] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:55.876466 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2730] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:55.881469 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2728] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:55.883467 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2731] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:55.886469 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2729] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:56.140470 2022] [authz_core:error] [pid 12412:tid 1476] [client 127.0.0.1:2735] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:56.151467 2022] [authz_core:error] [pid 12412:tid 1484] [client 127.0.0.1:2736] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:56.355473 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2738] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:56.360469 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2736] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:56.365472 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2737] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:56.375471 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2735] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:56.551467 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2737] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:58.567470 2022] [authz_core:error] [pid 12412:tid 1476] [client 127.0.0.1:2743] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:58.571467 2022] [authz_core:error] [pid 12412:tid 1484] [client 127.0.0.1:2744] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:58.587469 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2745] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:58.603467 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2746] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:58.782467 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2746] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:58.785468 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2745] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:47:59.222466 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2746] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:56.096469 2022] [authz_core:error] [pid 12412:tid 1472] [client 127.0.0.1:2752] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:56.109469 2022] [authz_core:error] [pid 12412:tid 1472] [client 127.0.0.1:2752] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:56.510469 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2754] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:56.513468 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2753] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:56.536471 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2754] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:56.560467 2022] [wsgi:error] [pid 12412:tid 1472] [client 127.0.0.1:2752] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:56.593468 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2753] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:58.340468 2022] [authz_core:error] [pid 12412:tid 1500] [client 127.0.0.1:2759] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:48:58.341471 2022] [authz_core:error] [pid 12412:tid 1472] [client 127.0.0.1:2758] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
